date,open,close,high,low,ret_pct,range_pct,first30_range_pct,rv_bp_1m,trend_score,mr_swings_5m,pnl,wins,losses,entries,exits
2026-02-12,694.28,681.29,695.35,680.37,-1.8710030535230757,2.1576309270035168,0.4364233450481035,4.588490485873553,0.8671562082777031,39,85.3708,12,11,23,23
2026-02-13,681.68,681.63,686.28,677.52,-0.007334819856817646,1.285060438915619,0.8508391033916308,5.619525807807562,0.00570776255707244,45,-135.7596,3,6,12,9
2026-02-17,680.12,682.78,684.94,675.78,0.3911074516261789,1.3468211492089752,0.9321884373345759,4.930755917929455,0.2903930131004306,40,86.6698,10,8,19,18
2026-02-18,684.01,686.26,689.15,682.83,0.3289425593193082,0.9239630999546697,0.5189982602593463,2.949289678460285,0.35601265822785166,42,-100.1786,4,5,12,9
2026-02-19,683.86,684.52,686.18,681.5475,0.09651098177989181,0.6774047319626731,0.4898663469131142,3.93574592653363,0.1424716675661041,43,-185.7282,7,8,17,15
2026-02-20,682.32,689.36,690.06,681.73,1.031773947707815,1.2208347989213164,0.5305428537929423,6.142197295687099,0.8451380552220918,34,-39.9785,11,10,21,21
2026-02-23,687.82,682.41,690,680.371,-0.7865429908987935,1.3999302143002557,0.5379314355500051,3.2747174815733797,0.5618444282895494,34,-75.2162,7,11,18,18
2026-02-24,681.9,687.36,688.35,680,0.8007039155301419,1.224519724299754,0.8007039155301419,2.9136954834704043,0.6538922155688649,36,-294.805,8,12,21,20
2026-02-25,690.19,693.08,693.68,690.1,0.41872527854648517,0.5186977498949459,0.27383763891102253,1.5051088711572786,0.8072625698324148,40,20.9078,6,5,14,11
2026-02-26,693.28,689.32,693.32,684.35,-0.5711977844449462,1.2938495268866876,0.41830140780061315,3.5745889386966185,0.44147157190634456,33,145.5689,10,12,22,22
2026-02-27,683.06,686.22,686.86,681.64,0.4626240740198639,0.7642081222733036,0.3821040611366518,3.510787636158891,0.605363984674342,35,-250.2152,7,11,18,18
2026-03-02,678.7,686.37,688.62,678.02,1.130101664947688,1.5618093413879508,0.7882716958892033,3.801524873463624,0.7235849056603719,32,-26.481,11,12,23,23
2026-03-03,675.05,680.27,682.61,669.66,0.7732760536256614,1.9183764165617432,0.7629064513739691,5.328799349828046,0.4030888030888038,36,87.8328,7,5,13,12
2026-03-04,681.63,685.16,687.09,679.62,0.5178762671830719,1.0959024690814705,0.5718645012690206,3.4908413630114965,0.47255689424363584,37,-63.8854,4,5,9,9
2026-03-05,682.07,681.44,685.53,675.61,-0.09236588619936303,1.4543961763455304,0.4766666177958166,5.021472205613169,0.06350806451612884,30,-250.7244,4,9,14,13
2026-03-06,673.39,672.46,676.11,669.76,-0.1381071889989382,0.9429899463906537,0.6385601211779139,5.219872237958411,0.14645669291337743,36,-116.5766,4,6,11,10
